9997,2390,CAVETHIEF,45,69,1016
9998,2390,CAVETHIEF,45,72,1016
9999,2390,CAVETHIEF,48,74,1016
10000,2390,CAVETHIEF,51,67,1016
10001,2390,CAVETHIEF,53,73,1016
10002,2390,CAVETHIEF,63,74,1016
10003,2390,CAVETHIEF,61,67,1016
10004,2390,CAVETHIEF,65,68,1016
10005,2390,CAVETHIEF,67,66,1016
10006,2390,CAVETHIEF,71,71,1016
10007,2390,CAVETHIEF,78,64,1016
10008,2390,CAVETHIEF,80,61,1016
10009,2390,CAVETHIEF,83,59,1016
10010,2390,CAVETHIEF,82,50,1016
10011,2390,CAVETHIEF,84,52,1016
10012,2390,CAVETHIEF,79,47,1016
10013,2390,CAVETHIEF,73,53,1016
10014,2390,CAVETHIEF,71,49,1016
10015,2390,CAVETHIEF,70,52,1016
10016,2390,CAVETHIEF,63,51,1016
10017,2390,CAVETHIEF,67,54,1016
10018,2390,CAVETHIEF,54,52,1016
10019,2390,CAVETHIEF,52,53,1016
10020,2390,CAVETHIEF,44,56,1016
10021,2390,CAVETHIEF,48,55,1016
10022,2390,CAVETHIEF,35,54,1016
10023,2390,CAVETHIEF,35,58,1016
10024,2390,CAVETHIEF,27,46,1016
10025,2390,CAVETHIEF,22,42,1016
10026,2390,CAVETHIEF,23,37,1016
10027,2390,CAVETHIEF,19,35,1016
10028,2390,CAVETHIEF,28,34,1016
10029,2390,CAVETHIEF,33,39,1016
10030,2390,CAVETHIEF,39,45,1016
10031,2390,CAVETHIEF,43,45,1016
10032,2390,CAVETHIEF,34,30,1016
10033,2390,CAVETHIEF,40,36,1016
10034,2390,CAVETHIEF,38,30,1016
10035,2390,CAVETHIEF,46,35,1016
10036,2390,CAVETHIEF,49,42,1016
10037,2390,CAVETHIEF,50,31,1016
10038,2390,CAVETHIEF,53,22,1016
10039,2390,CAVETHIEF,46,22,1016
10040,2390,CAVETHIEF,53,25,1016
10041,2390,CAVETHIEF,56,40,1016
10042,2390,CAVETHIEF,60,44,1016
10043,2390,CAVETHIEF,66,44,1016
10044,2390,CAVETHIEF,68,38,1016
10045,2390,CAVETHIEF,62,34,1016
10046,2390,CAVETHIEF,37,73,1016
10047,2390,CAVETHIEF,30,65,1016
10048,2997,PLAINSTHIEF,46,67,1016
10049,2997,PLAINSTHIEF,22,37,1016
10050,2997,PLAINSTHIEF,50,25,1016
10051,2997,PLAINSTHIEF,81,50,1016
10052,2996,THIEFLEADER,63,40,1016
10053,2996,THIEFLEADER,30,66,1016
