Count=185
723130,6,9,1
723131,6,9,1
723132,6,9,1
723133,4,3,1
723134,4,3,1
723135,4,3,1
723651,0,2,1
723652,0,2,1
723653,0,2,1
723654,4,2,1
723655,4,2,1
723656,4,2,1
723657,5,2,1
723658,5,2,1
723659,5,2,1
723660,4,5,1
723661,4,5,1
723662,4,5,1
723663,5,5,1
723664,5,5,1
723665,5,5,1
723666,0,5,1
723667,0,5,1
723668,0,5,1
723669,5,8,1
723670,5,8,1
723671,5,8,1
723672,1,7,1
723673,1,7,1
723674,1,7,1
723675,3,7,1
723676,3,7,1
723677,3,7,1
723678,8,7,1
723679,8,7,1
723680,8,7,1
723681,2,7,1
723682,2,7,1
723683,2,7,1
723684,1,9,1
723685,1,9,1
723686,1,9,1
723690,2,7,1
723691,2,7,1
723692,2,7,1
724130,6,9,1
724131,6,9,1
724132,6,9,1
724133,4,3,1
724134,4,3,1
724135,4,3,1
724136,3,4,1
724137,3,4,1
724138,3,4,1
724139,1,10,1
724140,1,10,1
724141,1,10,1
724142,3,6,1
724143,3,6,1
724144,3,6,1
724145,1,8,1
724146,1,8,1
724147,1,8,1
724148,2,9,1
724149,2,9,1
724150,2,9,1
724151,0,2,1
724152,0,2,1
724153,0,2,1
724154,4,2,1
724155,4,2,1
724156,4,2,1
724157,5,2,1
724158,5,2,1
724159,5,2,1
724160,4,5,1
724161,4,5,1
724162,4,5,1
724163,5,5,1
724164,5,5,1
724165,5,5,1
724166,0,5,1
724167,0,5,1
724168,0,5,1
724169,5,8,1
724170,5,8,1
724171,5,8,1
724172,1,7,1
724173,1,7,1
724174,1,7,1
724175,3,7,1
724176,3,7,1
724177,3,7,1
724178,8,7,1
724179,8,7,1
724180,8,7,1
724181,2,7,1
724182,2,7,1
724183,2,7,1
724184,1,9,1
724185,1,9,1
724186,1,9,1
724190,2,7,1
724191,2,7,1
724192,2,7,1
724193,6,2,1
724194,6,2,1
724195,6,3,1
724196,6,3,1
724197,6,3,1
724198,6,5,1
724199,6,5,1
724200,6,5,1
724201,6,5,1
724202,6,5,1
724203,6,5,1
724204,2,6,1
724205,2,6,1
724207,2,6,1
724208,2,6,1
724210,8,4,1
724211,8,4,1
724212,8,4,1
724215,6,2,1
725055,6,2,1
725056,6,3,1
725057,6,5,1
725058,6,5,1
725160,2,1,1
725161,2,1,1
725162,2,1,1
725163,2,1,1
725164,2,1,1
725165,2,1,1
725166,6,1,1
725167,6,1,1
725168,6,1,1
725169,6,1,0
725170,6,1,1
725171,6,1,1
3004197,4,3,1
3004198,4,2,1
3004199,4,2,1
3004200,4,2,1
3004201,4,5,1
3004202,4,5,1
3004203,4,5,1
3004204,5,8,1
3004205,1,7,1
3004206,3,7,1
3004207,8,7,1
3004208,2,7,1
3004209,1,9,1
3004210,2,7,1
3004211,3,4,1
3004212,1,10,1
3004213,3,6,1
3004214,1,8,1
3004215,2,9,1
3004216,6,2,1
3004217,6,3,1
3004218,6,5,1
3004219,6,5,1
3004220,2,6,1
3004221,2,6,1
3004222,8,4,1
3004223,2,1,1
3004224,2,1,1
3004225,6,1,1
3004226,6,1,1
3004266,4,2,1
3004267,4,2,1
3004268,4,2,1
3004269,4,5,1
3004270,4,5,1
3004271,4,5,1
3004272,5,8,1
3004273,1,7,1
3004274,3,7,1
3004275,8,7,1
3004276,2,7,1
3004277,1,9,1
3004278,2,7,1
3004279,6,9,1
3004280,4,3,1
