8924,26,837,1511,51,51,FlowerDressingTable,726083,23000
8919,26,787,1511,32,48,BeechCloset,726078,15000
8921,26,807,1511,37,37,AgallochTable,726080,12000
3121,26,101,1511,66,62,BasinRack,721186,28000
3120,26,91,1511,44,44,Dresser,721185,18000
3119,26,81,1511,37,44,FoldingScreen,726008,10000
3116,26,51,1511,51,37,BombeChest,721181,11000
3125,26,41,1511,44,51,HighShelf,721180,15000
3115,26,37,1511,44,37,Cabinet,721179,15000
8917,26,767,1511,37,58,RedOakTable,726076,13000
8923,26,827,1511,59,70,Chessboard,726082,19000
8918,26,777,1511,49,32,EbonyCabinet,726077,11000
3113,26,10,1511,69,69,Lamp,721177,28000
3118,26,71,1511,51,58,HighCabinet,721183,23000
3114,26,21,1511,36,71,LowShelf,721178,20000
8926,26,857,1511,67,43,WalnutSquareTable,726085,17000
8920,26,797,1511,65,33,SpruceCloset,726079,11000
3123,26,121,1511,70,40,EndTable,721188,17000
3122,26,111,1511,58,44,Chair,721187,16000
3117,26,61,1511,55,31,RosewoodCabinet,721182,20000
8922,26,817,1511,65,58,AshtreeCloset,726081,19000
8925,26,847,1511,58,51,RosewoodFlatTable,726084,14000
3124,2,8200,1511,64,67,ItemBox,722559,60000
8599,26,1087,1511,69,34,WallClock,726108,23000
8598,26,1077,1511,39,32,Painting,726107,29000
8929,26,887,1511,50,45,PoplarDesk,726088,19000
8607,26,717,1511,50,40,DayLounger,726071,22000
8606,26,707,1511,45,40,Censer,726070,11000
8605,26,697,1511,76,45,Bookshelf,726069,19000
8602,26,667,1511,55,46,RoundTable,726066,18000
8935,26,947,1511,45,50,PurpleBambooScreen,726094,41000
8934,26,937,1511,40,50,SandalwoodCloset,726093,11000
8928,26,877,1511,40,55,SandalwoodDinnerTable,726087,34000
8937,26,967,1511,40,65,RedMapleDesk,726096,8937
8936,26,957,1511,48,65,EaglewoodTable,726095,15000
8943,26,1027,1511,50,55,BirchTable,726102,24000
8942,26,1017,1511,40,70,CarvedFlatTable,726101,22000
8603,26,677,1511,65,35,Chair,726067,16000
8932,26,917,1511,65,45,CamphorwoodTable,726091,13000
8601,26,657,1511,60,35,RoundStool,726065,11000
8608,26,727,1511,55,40,SquareTable,726072,25000
8611,26,757,1511,70,43,ScrollVase,726075,44000
8610,26,747,1511,65,40,LookingGlass,726074,34000
8600,26,647,1511,56,35,CherryCouch,726064,11000
8609,26,737,1511,60,40,Ornament,726073,11000
8938,26,977,1511,69,48,MarryCabinet,726097,22000
8939,26,987,1511,65,50,OakRoundTable,726098,13000
8931,26,907,1511,61,65,MapleDesk,726090,10000
8946,26,1057,1511,68,59,CarvedRosewoodScreen,726086,27000
8945,26,1047,1511,60,55,CamphorwoodFlatTable,726104,23000
8941,26,1007,1511,55,65,CrystalTable,726100,11000
8944,26,1037,1511,55,55,ShadowSquareTable,726103,12000
8604,26,687,1511,69,65,Bathtub,726068,39000
8927,26,867,1511,35,66,CarvedRosewoodScreen,726086,51000
8940,26,997,1511,35,55,WalnutTable,726099,21000
8933,26,927,1511,35,50,RosewoodCloset,726092,41000
8597,26,1067,1511,44,70,Desk,726106,31000
