102092,1860,60,84,7218007,31,0,1,10
102094,1860,60,68,7218007,30,0,1,5
102096,1858,226,192,7217967,29,1,0,1000000
102098,1858,226,176,7217967,28,1,0,1000000
102100,1858,226,160,7217967,27,1,0,1000000
102656,1860,60,100,7218007,32,0,1,5
102102,1858,226,144,7217967,26,1,0,1000000
102658,1860,60,116,7218007,33,0,1,10
102104,1858,226,128,7217967,25,1,0,1000000
102660,1860,76,68,7218007,34,0,1,5
102106,1858,226,112,7247567,24,1,0,1000000
102662,1860,76,84,7218007,35,0,1,10
102108,1858,210,192,7217967,23,1,0,10000
102664,1860,76,100,7218007,36,0,1,5
102110,1858,210,176,7217967,22,1,0,10000
102666,1860,76,116,7218007,37,0,1,10
102112,1858,210,160,7217967,21,1,0,10000
102668,1860,92,68,7218007,38,0,1,5
102114,1858,210,144,7217967,20,1,0,10000
102670,1860,92,84,7218007,39,0,1,10
102116,1858,210,128,7217967,19,1,0,5000000
102672,1860,92,100,7218007,40,0,1,5
102118,1858,210,112,7217967,18,1,0,5000000
102674,1860,92,116,7218007,41,0,1,10
102120,1858,194,192,7247567,17,1,0,10000
102676,1860,108,68,7218007,42,0,1,5
102122,1858,194,176,7217967,16,1,0,10000
102678,1860,108,84,7218007,43,0,1,10
102124,1858,194,160,7217967,15,1,0,5000000
102680,1860,108,100,7218007,44,0,1,5
102126,1858,194,144,7247567,14,1,0,5000000
102682,1860,108,116,7218007,45,0,1,10
102128,1858,194,128,7247567,13,1,0,10000
102684,1860,124,68,7218007,46,0,1,5
102130,1858,194,112,7217967,12,1,0,10000
102686,1860,124,84,7218007,47,0,1,10
102132,1858,178,192,7217967,11,0,0,10000
102688,1860,124,100,7218007,48,0,1,5
102134,1858,178,176,7217967,10,1,0,10000
102690,1860,124,116,7218007,49,0,1,10
102136,1858,178,160,7217967,9,1,0,10000
102138,1858,178,144,7217967,8,1,0,10000
102140,1858,178,128,7247567,7,1,0,5000000
102696,1858,126,176,7578087,272,1,0,1000000
102142,1858,178,112,7217967,6,1,0,10000
102698,1858,126,192,7578087,273,1,0,1000000
102144,1858,162,192,7217967,5,1,0,10000
102700,1858,142,112,7578087,274,1,0,100000
102146,1858,162,176,7217967,4,1,0,10000
102702,1858,142,128,7578087,275,1,0,100000
102148,1858,162,160,7217967,3,1,0,10000
102704,1858,142,144,7578087,276,1,0,10000
102150,1858,162,144,7217967,2,1,0,10000
102706,1858,126,144,7578087,270,1,0,10000
102152,1858,162,128,7247567,1,1,0,10000
102708,1858,126,160,7578087,271,1,0,10000
102154,1858,162,112,7247567,0,1,0,10000
102710,1858,126,128,7578087,269,1,0,100000
102712,1858,126,112,7578087,268,1,0,100000
102714,1858,110,176,7578087,266,1,0,10000000
102716,1858,110,192,7578087,267,1,0,5000000
102718,1858,110,160,7578087,265,1,0,10000
102720,1858,110,144,7578087,264,1,0,10000
102722,1858,110,112,7578087,262,1,0,100000
102724,1858,110,128,7578087,263,1,0,100000
102726,1858,94,192,7578087,261,1,0,3000000
102728,1858,94,176,7578087,260,1,0,5000000
102730,1858,94,160,7578087,259,1,0,10000
102732,1858,94,144,7578087,258,1,0,10000
102734,1858,94,112,7578087,256,1,0,100000
102736,1858,94,128,7578087,257,1,0,100000
102740,1858,142,160,7578087,277,1,0,10000
102742,1858,142,176,7578087,278,1,0,1000000
102744,1858,142,192,7578087,279,1,0,1000000
